,name,ratings,review_count,ctype,years,hq,employees
4238,Oerlikon Grazian...,4.5,(147 Reviews),Private,117 years old,Pfaffikon + 8 more,1k-5k Employees (India)
4239,Koye Pharmaceuti...,3.3,(147 Reviews),Private,10 years old,"Mumbai,Maharashtra + 23 more",1k-5k Employees (India)
4240,Ambit Finvest,4.1,(147 Reviews),Mumbai + 39 more,,51-200 Employees (India),
4241,Acko General Ins...,3.6,(146 Reviews),Private,7 years old,"Mumbai,Maharashtra + 3 more",501-1k Employees (India)
4242,L. V. Prasad Eye...,4.5,(146 Reviews),Private,36 years old,"Hyderabad/Secunderabad,Telangana + 8 more",501-1k Employees (India)
4243,Livguard,4.1,(146 Reviews),Private,9 years old,"Gurgaon,Haryana + 20 more",501-1k Employees (India)
4244,SNVA Ventures,3.8,(146 Reviews),Private,14 years old,Waldorf + 2 more,201-500 Employees (India)
4245,ADARSH DEVELOPER...,4.3,(146 Reviews),Private,35 years old,"Bangalore/Bengaluru,Karnataka + 1 more",501-1k Employees (India)
4246,Marine Electrica...,3.9,(146 Reviews),Private,45 years old,"Mumbai,Maharashtra + 12 more",201-500 Employees (India)
4247,Evoke Technologi...,3.9,(146 Reviews),Private,20 years old,"Dayton,Ohio + 1 more",501-1k Employees (India)
4248,Government of An...,3.8,(146 Reviews),Public,70 years old,Velagapudi + 45 more,1 Lakh+ Employees (Global)
4249,Sudhir Power,4.1,(146 Reviews),Private,50 years old,"Gurgaon/Gurugram,Haryana + 24 more",1k-5k Employees (India)
4250,Balaji Action Bu...,4,(146 Reviews),Private,33 years old,"Delhi/NCR,New Delhi + 12 more",1k-5k Employees (India)
4251,Govt. Medical Co...,4.1,(146 Reviews),Private,1k-5k Employees (India),Patiala + 43 more,
4252,S&P Capital IQ,4.3,(146 Reviews),Private,25 years old,"New York,New York + 2 more",10k-50k Employees (India)
4253,COWI,4.1,(146 Reviews),Private,93 years old,Lyngby + 3 more,501-1k Employees (India)
4254,AIG Business Sol...,4.6,(146 Reviews),Private,10 years old,"Gurgaon/Gurugram,Haryana + 3 more",51-200 Employees (India)
4255,ABCD,3.7,(146 Reviews),Private,201-500 Employees (India),Brooklyn + 30 more,
4256,Enmas O & M Serv...,3.9,(146 Reviews),Private,18 years old,"Chennai,Tamil Nadu + 19 more",1k-5k Employees (India)
4257,Bharti Foundatio...,4.2,(146 Reviews),Partnership,23 years old,Gurugram + 27 more,1k-5k Employees (India)
4258,Sajjan India,3.9,(146 Reviews),Public,118 years old,Mumbai + 7 more,51-200 Employees (India)
4259,Marine Electrica...,3.9,(146 Reviews),Private,45 years old,"Mumbai,Maharashtra + 12 more",201-500 Employees (India)
4260,Bharti Foundatio...,4.2,(146 Reviews),Partnership,23 years old,Gurugram + 27 more,1k-5k Employees (India)
4261,ADARSH DEVELOPER...,4.3,(146 Reviews),Private,35 years old,"Bangalore/Bengaluru,Karnataka + 1 more",501-1k Employees (India)
4262,Govt. Medical Co...,4.1,(146 Reviews),Private,1k-5k Employees (India),Patiala + 43 more,
4263,Government of An...,3.8,(146 Reviews),Public,70 years old,Velagapudi + 45 more,1 Lakh+ Employees (Global)
4264,Tata Play Fiber,4.2,(146 Reviews),Mumbai + 24 more,,51-200 Employees (India),
4265,Century Pulp & P...,4.1,(145 Reviews),Private,39 years old,"Nainital,Uttarakhand + 11 more",201-500 Employees (India)
4266,HCL Infotech,4,(145 Reviews),Private,32 years old,Noida + 21 more,1 Lakh+ Employees (Global)
4267,Venus Industrial...,3.9,(145 Reviews),Private,51 years old,"Faridabad,Haryana + 9 more",1-10 Employees (India)
4268,Interarch Buildi...,4.1,(145 Reviews),Private,39 years old,"Noida,Uttar Pradesh + 18 more",1k-5k Employees (India)
4269,Fisdom,4,(145 Reviews),"Bangalore,Karnataka + 25 more",501-1k Employees (India),8 years old,
4270,MUNDRA SOLAR TEC...,4.1,(145 Reviews),Ahmedabad + 9 more,201-500 Employees (India),8 years old,
4271,Asian Heart Inst...,3.6,(145 Reviews),Private,21 years old,"Mumbai,Maharashtra + 3 more",201-500 Employees (India)
4272,A2Z Infraservice...,3.9,(145 Reviews),Public,21 years old,"Gurgaon/Gurugram,Haryana + 19 more",201-500 Employees (India)
4273,Hughes Systique ...,4,(145 Reviews),Private,18 years old,Rockville + 2 more,1k-5k Employees (India)
4274,ARCIS e Services,3.6,(145 Reviews),Private,36 years old,Gurgaon + 6 more,201-500 Employees (India)
4275,Institute of Lan...,4.3,(145 Reviews),Bengaluru + 6 more,501-1k Employees (India),22 years old,
4276,Cummins Generato...,4.4,(145 Reviews),Private,32 years old,Ahmednagar + 15 more,5k-10k Employees (India)
4277,Annexmed,3.5,(145 Reviews),Private,19 years old,"Chennai,Tamil Nadu + 3 more",201-500 Employees (India)
4278,Quest Diagnostic...,3.5,(145 Reviews),Private,56 years old,"Secaucus,New Jersey + 9 more",501-1k Employees (India)
4279,Voylla,3.8,(145 Reviews),Private,11 years old,"Jaipur,Rajasthan + 36 more",201-500 Employees (India)
4280,Shipco Transport,3.7,(145 Reviews),Private,35 years old,"Hoboken,New Jersery + 3 more",201-500 Employees (India)
4281,Teleone,3.3,(145 Reviews),Private,25 years old,"Delhi/NCR,Delhi + 15 more",51-200 Employees (India)
4282,Sud Life Insuran...,3.9,(145 Reviews),Navi Mumbai + 63 more,1k-5k Employees (Global),14 years old,
4283,Xrbia Developers,2.7,(145 Reviews),Private,11 years old,"Pune,Maharashtra + 6 more",201-500 Employees (India)
4284,American Express...,4,(145 Reviews),Private,7 years old,"New York,New York + 11 more",1k-5k Employees (India)
4285,Om Innovation Ca...,3.4,(145 Reviews),Private,18 years old,"Delhi/NCR,Delhi + 8 more",51-200 Employees (India)
4286,Bajaj allianze g...,4.1,(145 Reviews),JV,22 years old,Pune + 48 more,10k-50k Employees (India)
4287,Ebixcash Global ...,3.4,(145 Reviews),Hyderabad/Secunderabad + 13 more,,,
4288,CyberSWIFT Infot...,3.8,(144 Reviews),Private,26 years old,"Worthington,Ohio + 5 more",201-500 Employees (India)
4289,Emirates NBD,4,(144 Reviews),Public,60 years old,"Dubai,Dubai + 8 more",201-500 Employees (India)
4290,Hipad Technology...,4,(144 Reviews),Private,7 years old,"Noida,Uttar Pradesh + 2 more",1k-5k Employees (Global)
4291,Rucha Engineers,3.9,(144 Reviews),Ghaziabad + 7 more,501-1k Employees (India),16 years old,
4292,Colourtex,4.1,(144 Reviews),Private,56 years old,"Surat,Gujrat + 7 more",501-1k Employees (India)
4293,Dixcy Textiles,4.2,(144 Reviews),Private,39 years old,"Bangalore/Bengaluru,Karnataka + 28 more",1k-5k Employees (India)
4294,KSB Limited - Ir...,3.9,(144 Reviews),Frankenthal + 15 more,,1k-5k Employees (India),
4295,Radio Mirchi,3.6,(144 Reviews),Mumbai + 38 more,,501-1k Employees (India),
4296,FICO,4.1,(144 Reviews),Private,67 years old,"San Jose,California + 4 more",1k-5k Employees (India)
4297,Electropneumatic...,3.8,(144 Reviews),Private,51 years old,"Pune,Maharashtra + 2 more",501-1k Employees (India)
4298,GKB RX Lens,4.2,(144 Reviews),Private,64 years old,"Kolkata,West Bengal + 18 more",1k-5k Employees (India)
4299,Technofab Engine...,4,(144 Reviews),Public,52 years old,"Delhi/NCR,Delhi + 16 more",201-500 Employees (India)
4300,Ican BPO,4.5,(144 Reviews),Private,14 years old,Thane + 2 more,201-500 Employees (India)
4301,Leayan Global,4.2,(144 Reviews),Private,18 years old,"Kanpur,Uttar Pradesh + 29 more",1k-5k Employees (India)
4302,RM Education Sol...,3.7,(144 Reviews),Private,20 years old,Thiruvananthapuram + 3 more,1k-5k Employees (India)
4303,BLS Internationa...,3.3,(144 Reviews),Public,40 years old,"Delhi/NCR,New Delhi + 34 more",51-200 Employees (India)
4304,Major Brands,3.9,(144 Reviews),Private,22 years old,"Mumbai,Maharashtra + 13 more",51-200 Employees (India)
4305,NIKE,4.3,(144 Reviews),Public,59 years old,"Beaverton,Oregon + 30 more",501-1k Employees (India)
4306,Dev Information ...,3.8,(144 Reviews),Public,26 years old,"Ahmedabad,Gujarat + 26 more",501-1k Employees (India)
4307,Snowman Logistic...,4.3,(144 Reviews),Public,27 years old,"Bangalore/Bengaluru,Karnataka + 21 more",201-500 Employees (India)
4308,NOVO Mediscience...,2.7,(144 Reviews),Mumbai + 16 more,201-500 Employees (India),77 years old,
4309,Exeltis,4.1,(144 Reviews),Private,20 years old,Madrid + 23 more,1k-5k Employees (India)
4310,Common Service C...,4.2,(144 Reviews),New Delhi + 66 more,201-500 Employees (India),14 years old,
4311,Ultra Engineers,4,(144 Reviews),Private,32 years old,"Pune,Maharashtra + 2 more",1k-5k Employees (India)
4312,Rittal,4.2,(144 Reviews),Private,28 years old,Herborn + 12 more,501-1k Employees (India)
4313,Red Bull,4.1,(144 Reviews),Private,36 years old,Fuschl + 34 more,501-1k Employees (India)
4314,Navneet Educatio...,3.6,(143 Reviews),Public,64 years old,"Mumbai,Maharashtra + 23 more",501-1k Employees (India)
4315,Porteck India In...,4,(143 Reviews),Private,21 years old,"Jericho,New York + 3 more",201-500 Employees (India)
4316,MJ Biopharm,3.6,(143 Reviews),Private,36 years old,"Mumbai,Maharashtra + 5 more",201-500 Employees (India)
4317,Konexions Back O...,3.1,(143 Reviews),Private,16 years old,New Delhi + 7 more,11-50 Employees (India)
4318,Accurate Enginee...,3.5,(143 Reviews),"Pune,Maharashtra + 18 more",51-200 Employees (India),60 years old,
4319,Spectraforce Tec...,3.7,(143 Reviews),Private,19 years old,Raleigh + 8 more,501-1k Employees (India)
4320,Xylem Water Solu...,4,(143 Reviews),Private,12 years old,"Rye Brook,New York + 12 more",501-1k Employees (India)
4321,National Aerospa...,4.5,(143 Reviews),Private,64 years old,"Bangalore/Bengaluru,Karnataka + 1 more",1k-5k Employees (India)
4322,Borgwarner Emiss...,4,(143 Reviews),Private,95 years old,"Auburn Hills,Michigan + 8 more",501-1k Employees (India)
4323,ETV Network,3.7,(143 Reviews),Private,28 years old,"Hyderabad/Secunderabad,Telangana + 11 more",5k-10k Employees (Global)
4324,Childline India ...,4.5,(143 Reviews),Private,27 years old,New Delhi + 51 more,51-200 Employees (India)
4325,FCI CCM,4.5,(143 Reviews),"New York,New York + 5 more",501-1k Employees (India),64 years old,
4326,Technocon Servic...,3.3,(143 Reviews),Private,41 years old,"Kolkata,West Bengal + 19 more",51-200 Employees (India)
4327,Applus Velosi,4,(143 Reviews),Private,41 years old,Abu Dhabi + 14 more,501-1k Employees (India)
4328,COMSTAR AUTOMOTI...,3.8,(143 Reviews),Private,24 years old,"Chengalpattu,Tamil Nadu + 3 more",201-500 Employees (India)
4329,Massive Restaura...,3.9,(143 Reviews),Private,11 years old,"Gurgaon,Haryana + 12 more",501-1k Employees (India)
4330,M & M Financial ...,4.3,(143 Reviews),Public,32 years old,Mumbai + 50 more,10k-50k Employees (India)
4331,Técnicas Reunida...,4.3,(143 Reviews),Private,51 years old,"Madrid,Madrid + 13 more",5k-10k Employees (Global)
4332,Dr Mohan's Diabe...,4.1,(143 Reviews),Proprietorship,32 years old,"Chennai,Tamil Nadu + 26 more",1k-5k Employees (India)
4333,Ameex Technologi...,3.9,(143 Reviews),Private,16 years old,"Schaumburg,Illinois + 2 more",501-1k Employees (India)
4334,Al Fara'a Group,3.6,(143 Reviews),Private,43 years old,"Al Ain,Abu Dhabi + 9 more",201-500 Employees (India)
4335,KK Spun Pipes,3.1,(143 Reviews),Private,46 years old,"Faridabad,Haryana + 13 more",201-500 Employees (India)
4336,BPO+,3.8,(143 Reviews),Private,18 years old,Doha + 37 more,201-500 Employees (India)
4337,Bill Forge,3.9,(143 Reviews),Private,38 years old,"Bangalore/Bengaluru,Karnataka + 6 more",201-500 Employees (India)
4338,L&T Infrastructu...,4.1,(143 Reviews),Chennai + 11 more,,201-500 Employees (India),
4339,Madhu Jayanti In...,3.9,(143 Reviews),Public,81 years old,"Kolkata,West Bengal + 27 more",201-500 Employees (India)
4340,C-quel Managemen...,4.4,(142 Reviews),Kolkata + 12 more,11-50 Employees (India),23 years old,
4341,KNR Construction...,4.1,(142 Reviews),Public,28 years old,"Hyderabad/Secunderabad,Telangana + 26 more",501-1k Employees (India)
4342,Government Hospi...,4.1,(142 Reviews),New Delhi + 66 more,,,
4343,Velnik India,3.3,(142 Reviews),Private,6 years old,"Indore,Madhya Pradesh + 24 more",1k-5k Employees (India)
4344,Adda 247,3.6,(142 Reviews),Private,7 years old,"Gurgaon,Haryana + 11 more",51-200 Employees (India)
4345,Protiviti,3.6,(142 Reviews),Private,21 years old,Menlo Park + 11 more,5k-10k Employees (India)
4346,Jaypee Hotels,3.8,(142 Reviews),Public,43 years old,"Delhi/NCR,Delhi + 11 more",501-1k Employees (India)
4347,TCS e-Serve Inte...,3.8,(142 Reviews),Private,5k-10k Employees (India),Mumbai + 21 more,
4348,RAKS Pharma,3.9,(142 Reviews),Private,15 years old,"Visakhapatnam/Vizag,Andhra Pradesh + 5 more",201-500 Employees (India)
4349,Unicorn Infosolu...,3.7,(142 Reviews),Private,21 years old,"Mumbai,Maharashtra + 13 more",201-500 Employees (India)
4350,Mytrah Energy,3.8,(142 Reviews),Private,14 years old,"Hyderabad/Secunderabad,Telangana + 11 more",201-500 Employees (India)
4351,Geo Chem Laborat...,3.6,(142 Reviews),Private,59 years old,"Mumbai,Maharashtra + 16 more",1k-5k Employees (India)
4352,Vcare (India),4.1,(142 Reviews),Private,19 years old,Chennai + 25 more,501-1k Employees (Global)
4353,Franchise India ...,2.3,(142 Reviews),Public,24 years old,"Faridabad,Haryana + 11 more",501-1k Employees (India)
4354,Daffodil Softwar...,3.8,(142 Reviews),Private,24 years old,"Grandville,MI + 4 more",201-500 Employees (India)
4355,Unilog Content S...,3.4,(142 Reviews),Private,25 years old,"Wayne,Pennsylvania + 3 more",201-500 Employees (India)
4356,TresVista,3.2,(142 Reviews),Private,17 years old,"Mumbai,Maharashtra + 6 more",1k-5k Employees (India)
4357,Medline Industri...,4.2,(142 Reviews),Private,57 years old,"Northfield,Illinois + 2 more",201-500 Employees (India)
4358,Precision Camsha...,3,(142 Reviews),Public,31 years old,"Solapur,Maharashtra + 1 more",201-500 Employees (India)
4359,LEAP India,3.6,(142 Reviews),Private,10 years old,"Coimbatore,Tamil Nadu + 20 more",51-200 Employees (India)
4360,Vishvaraj Infras...,4.2,(142 Reviews),Public,24 years old,"Nagpur,Maharashtra + 25 more",201-500 Employees (India)
4361,ILJIN AUTOMOTIVE,3.8,(142 Reviews),Seoul + 8 more,,50 years old,
4362,Apollo Diagnosti...,4,(142 Reviews),Private,8 years old,Hyderabad + 33 more,201-500 Employees (India)
4363,Gujarat Narmada ...,4.3,(142 Reviews),Private,47 years old,Bharuch + 10 more,1k-5k Employees (India)
4364,Noida Power Comp...,4.2,(142 Reviews),Private,30 years old,Greater Noida + 4 more,1k-5k Employees (India)
4365,Patton Internati...,3.6,(142 Reviews),Private,33 years old,"Kolkata,West Bengal + 2 more",51-200 Employees (India)
4366,Emerald Jewel In...,3.9,(142 Reviews),Public,39 years old,"Coimbatore,Tamil Nadu + 7 more",51-200 Employees (India)
4367,Sun Direct TV,4.2,(142 Reviews),Private,16 years old,"Chennai,Tamil Nadu + 35 more",1k-5k Employees (India)
4368,NAV Backoffice,3.2,(142 Reviews),Private,32 years old,Jaipur + 2 more,1k-5k Employees (India)
4369,SEABIRD LOGISOLU...,3.7,(142 Reviews),Public,18 years old,"Mumbai,Maharashtra + 19 more",51-200 Employees (India)
4370,4B Networks,2.4,(142 Reviews),"Mumbai,Maharashtra + 11 more",,501-1k Employees (India),
4371,ICPA Health Prod...,3.3,(141 Reviews),Public,40 years old,"Mumbai,Maharashtra + 20 more",51-200 Employees (India)
4372,FOX Solutions,3.6,(141 Reviews),"Nasik/Nashik,Maharashtra + 11 more",201-500 Employees (India),28 years old,
4373,Paladion Network...,4,(141 Reviews),Private,23 years old,"Bangalore,Karnataka + 4 more",501-1k Employees (India)
4374,Prochant,3.3,(141 Reviews),Private,24 years old,"Chennai,Tamil Nadu + 4 more",1k-5k Employees (India)
4375,Celebi Delhi Car...,3.9,(141 Reviews),Istanbul,5k-10k Employees (India),65 years old,
4376,Trimble,4.5,(141 Reviews),Private,45 years old,"Sunnyvale,California + 9 more",1k-5k Employees (India)
4377,Oxford Universit...,3.6,(141 Reviews),Private,545 years old,"Oxford,Oxfordshire + 24 more",201-500 Employees (India)
4378,Gap,3.9,(141 Reviews),Private,27 years old,"Delhi/NCR,Delhi + 15 more",1k-5k Employees (India)
4379,Gap,3.9,(141 Reviews),Private,27 years old,"Delhi/NCR,Delhi + 15 more",1k-5k Employees (India)
4380,Siegwerk,4.1,(141 Reviews),Private,193 years old,"Siegburg,NRW + 13 more",501-1k Employees (India)
4381,Oxford Universit...,3.6,(141 Reviews),Private,545 years old,"Oxford,Oxfordshire + 24 more",201-500 Employees (India)
4382,Claritus Managem...,4.7,(141 Reviews),Private,15 years old,"Noida,Uttar Pradesh + 3 more",51-200 Employees (India)
4383,King George's Me...,4.4,(141 Reviews),Private,118 years old,Lucknow + 7 more,501-1k Employees (India)
4384,Pramati Technolo...,4.3,(141 Reviews),Private,25 years old,"Hyderabad/Secunderabad,Telangana + 2 more",1k-5k Employees (India)
4385,Trimble,4.5,(141 Reviews),Private,45 years old,"Sunnyvale,California + 9 more",1k-5k Employees (India)
4386,VSynergize Outso...,3.8,(141 Reviews),Private,22 years old,"Boston,MA",201-500 Employees (India)
4387,Henkel,4,(141 Reviews),Private,58 years old,"Mumbai,Maharashtra + 20 more",501-1k Employees (India)
4388,Laxmi Civil Engi...,4.2,(141 Reviews),Private,23 years old,"Kolhapur,Maharashtra + 30 more",201-500 Employees (India)
4389,ICPA Health Prod...,3.3,(141 Reviews),Public,40 years old,"Mumbai,Maharashtra + 20 more",51-200 Employees (India)
4390,Azim Premji Foun...,4.4,(141 Reviews),Private,22 years old,"Bangalore/Bengaluru,Karnataka + 30 more",1k-5k Employees (India)
4391,Ajay Industrial ...,3.9,(141 Reviews),Private,62 years old,"Ghaziabad,Uttar Pradesh + 24 more",51-200 Employees (India)
4392,Tirupati Medicar...,4.1,(141 Reviews),"Paonta Sahib,Himachal Pradesh + 10 more",1k-5k Employees (India),18 years old,
4393,Weizmann Forex,3.8,(141 Reviews),Public,30 years old,"Mumbai,Maharashtra + 30 more",201-500 Employees (India)
4394,Azure Hospitalit...,4.5,(141 Reviews),Private,14 years old,"Delhi,NCT + 8 more",201-500 Employees (India)
4395,FOX Solutions,3.6,(141 Reviews),"Nasik/Nashik,Maharashtra + 11 more",201-500 Employees (India),28 years old,
4396,Jaiprakash Power...,4,(141 Reviews),Public,29 years old,Noida + 10 more,5k-10k Employees (India)
4397,Anlage Infotech,4,(141 Reviews),Private,27 years old,"Mumbai,Maharashtra + 11 more",11-50 Employees (India)
4398,Sophos Technolog...,3.8,(141 Reviews),Private,38 years old,"Abingdon,United Kingdom + 5 more",501-1k Employees (India)
4399,HDFC Credila Fin...,4,(141 Reviews),Private,17 years old,"Mumbai,Maharashtra + 21 more",501-1k Employees (India)
4400,Prochant,3.3,(141 Reviews),Private,24 years old,"Chennai,Tamil Nadu + 4 more",1k-5k Employees (India)
4401,Qinecsa Solution...,2.8,(141 Reviews),,,,
4402,Hyderabad Metro ...,4,(140 Reviews),Private,13 years old,Hyderabad + 3 more,5k-10k Employees (India)
4403,Atomberg Technol...,4.3,(140 Reviews),Private,11 years old,"Mumbai,Maharashtra + 22 more",201-500 Employees (India)
4404,India Yamaha Mot...,3.8,(140 Reviews),Chennai + 16 more,,1k-5k Employees (India),
4405,Edward Food Rese...,3.8,(140 Reviews),Private,102 years old,"Kolkata,West Bengal + 3 more",51-200 Employees (India)
4406,Hawkins Cookers,3.9,(140 Reviews),Public,64 years old,"Mumbai,Maharashtra + 20 more",501-1k Employees (India)
4407,Louis Dreyfus Co...,4.1,(140 Reviews),Private,26 years old,"Rotterdam,South Holland + 11 more",501-1k Employees (India)
4408,BPL Medical Tech...,4.2,(140 Reviews),Private,56 years old,Bangalore + 20 more,501-1k Employees (India)
4409,Fashion TV,4.3,(140 Reviews),Paris + 4 more,,51-200 Employees (India),
4410,Anchor Health an...,3.7,(140 Reviews),Private,31 years old,"Mumbai,Maharashtra + 30 more",501-1k Employees (India)
4411,Indo Rama Synthe...,3.8,(140 Reviews),Public,37 years old,"Gurgaon/Gurugram,Haryana + 8 more",51-200 Employees (India)
4412,Internshala,4,(140 Reviews),Private,13 years old,"Gurgaon,Haryana + 16 more",5k-10k Employees (India)
4413,Balasore Alloys,3.7,(140 Reviews),Public,39 years old,"Balasore,Odisha + 9 more",501-1k Employees (India)
4414,OmniActive Healt...,3.9,(140 Reviews),Public,19 years old,"Mumbai,Maharashtra + 8 more",201-500 Employees (India)
4415,Global Consumer ...,4,(140 Reviews),Private,10 years old,"Bangalore,Karnataka + 32 more",51-200 Employees (India)
4416,Uttam Value Stee...,4,(140 Reviews),Public,49 years old,Mumbai + 5 more,1k-5k Employees (India)
4417,ITCube Solutions,3.6,(140 Reviews),Private,20 years old,"Pune,Maharashtra + 4 more",201-500 Employees (India)
4418,Century Enka,4.2,(140 Reviews),Public,58 years old,Pune + 8 more,501-1k Employees (India)
4419,British Airways,3.4,(140 Reviews),Private,104 years old,"Harmondsworth,Greater London + 5 more",201-500 Employees (India)
4420,Rehau Polymers,3.8,(140 Reviews),Private,26 years old,Singapore + 11 more,501-1k Employees (India)
4421,Axis Sales,4,(140 Reviews),Pune + 59 more,11-50 Employees (India),17 years old,
4422,Nayati Hospital,3.1,(140 Reviews),Private,11 years old,"Noida,Uttar Pradesh + 7 more",1k-5k Employees (India)
4423,Grauer & Weil (i...,3.6,(140 Reviews),Public,66 years old,"Mumbai,Maharashtra + 16 more",501-1k Employees (India)
4424,Daelim Industria...,4.6,(140 Reviews),Private,84 years old,Seoul + 12 more,51-200 Employees (India)
4425,Solv,4,(140 Reviews),"Bangalore,Karnataka + 31 more",201-500 Employees (India),4 years old,
4426,ExpertCallers,3.8,(140 Reviews),Bengaluru/Bangalore + 4 more,,11-50 Employees (India),
4427,The Pride Hotel,4.3,(140 Reviews),Private,48 years old,"Mumbai,Maharashtra + 17 more",501-1k Employees (India)
4428,K D Hospital,4.6,(140 Reviews),Ahmedabad + 1 more,11-50 Employees (India),5 years old,
4429,Green Park Hotel...,4.1,(140 Reviews),Private,32 years old,"Hyderabad/Secunderabad,Telangana + 12 more",1k-5k Employees (India)
4430,Vitesco Technolo...,4.3,(140 Reviews),Private,18 years old,"Hannover,Lower Saxony + 3 more",51-200 Employees (India)
4431,Walkaroo Interna...,3.8,(140 Reviews),Coimbatore + 25 more,,5k-10k Employees (India),
4432,ACS Solution,3.8,(140 Reviews),Hyderabad/Secunderabad + 7 more,,501-1k Employees (India),
4433,Fraazo,3.3,(140 Reviews),"Mumbai,Maharashtra + 11 more",51-200 Employees (India),7 years old,
4434,Motherson Sumi W...,4.1,(140 Reviews),Noida + 16 more,,,
4435,CDE Asia,4.7,(140 Reviews),Kolkata + 5 more,201-500 Employees (India),17 years old,
4436,SBI Payment Serv...,4.2,(139 Reviews),Government,13 years old,"Mumbai,Maharashtra + 65 more",1k-5k Employees (India)
4437,MINISO,3.9,(139 Reviews),Private,10 years old,"Gurgaon/Gurugram,Haryana + 27 more",1k-5k Employees (Global)
4438,Fernandez Hospit...,4.1,(139 Reviews),Private,75 years old,"Hyderabad/Secunderabad,Telangana",1k-5k Employees (India)
4439,Muthoot Housing ...,4.2,(139 Reviews),Private,13 years old,"Mumbai,Maharashtra + 53 more",501-1k Employees (India)
4440,Vedika Credit Ca...,4,(139 Reviews),Public,28 years old,"Ranchi,Jharkhand + 31 more",1k-5k Employees (India)
4441,MINISO,3.9,(139 Reviews),Private,10 years old,"Gurgaon/Gurugram,Haryana + 27 more",1k-5k Employees (Global)
4442,Imperative Busin...,4.3,(139 Reviews),Private,12 years old,Mumbai + 3 more,501-1k Employees (India)
4443,BIC Contracting,4.4,(139 Reviews),Dubai + 10 more,,1k-5k Employees (India),
4444,Shyplite,4.4,(139 Reviews),Private,8 years old,"Delhi,NCT + 1 more",51-200 Employees (India)
4445,Sears IT & Manag...,3.8,(139 Reviews),Private,14 years old,"Pune,Maharashtra + 2 more",501-1k Employees (India)
4446,EagleBurgmann,3.8,(139 Reviews),Private,139 years old,Wolfratshausen + 14 more,501-1k Employees (India)
4447,Manipal Universi...,4.1,(139 Reviews),Private,70 years old,"Manipal,Karnataka + 7 more",1k-5k Employees (India)
4448,Synthite Industr...,4,(139 Reviews),Private,51 years old,"Ernakulam,Kerala + 13 more",1k-5k Employees (India)
4449,Roulunds Braking,3.3,(139 Reviews),Private,287 years old,Odense + 1 more,1k-5k Employees (Global)
4450,Kovai Medical Ce...,4.4,(139 Reviews),Public,38 years old,"Coimbatore,Tamil Nadu + 6 more",201-500 Employees (India)
4451,QX,4,(139 Reviews),Private,20 years old,"Skipton,North Yorkshire + 3 more",1k-5k Employees (India)
4452,Star Hospitals,4,(139 Reviews),Private,18 years old,"Hyderabad/Secunderabad,Telangana + 12 more",51-200 Employees (India)
4453,International Ce...,3.6,(139 Reviews),Private,24 years old,"Mumbai,Maharashtra + 27 more",201-500 Employees (India)
4454,Sterlite Industr...,4.3,(139 Reviews),Public,48 years old,"Mumbai,Maharashtra + 13 more",201-500 Employees (India)
4455,IIHT,4.3,(139 Reviews),Private,30 years old,"Bangalore/Bengaluru,Karnataka + 20 more",201-500 Employees (India)
4456,Bright Life Care,4.1,(139 Reviews),Private,12 years old,"Gurgaon,Haryana + 29 more",51-200 Employees (India)
4457,SPIE Oil & Gas S...,4,(139 Reviews),Private,19 years old,"Cergy,Val Doise + 11 more",51-200 Employees (India)
4458,Bajaj Healthcare,3.4,(139 Reviews),Public,30 years old,"Thane,Maharashtra + 8 more",51-200 Employees (India)
4459,SBI Payment Serv...,4.2,(139 Reviews),Government,13 years old,"Mumbai,Maharashtra + 65 more",1k-5k Employees (India)
4460,CloudMoyo,4.2,(139 Reviews),Private,8 years old,"Bellevue,Washington",201-500 Employees (India)
4461,Inland World Log...,3.6,(139 Reviews),Private,41 years old,"Mumbai,Maharashtra + 33 more",1k-5k Employees (India)
4462,Galgotias Univer...,3.1,(139 Reviews),Private,12 years old,"Greater Noida,Uttar Pradesh + 6 more",201-500 Employees (India)
4463,Vivimed Labs,3.9,(139 Reviews),Public,32 years old,"Hyderabad/Secunderabad,Telangana + 9 more",501-1k Employees (India)
4464,Bhadra Internati...,3.6,(139 Reviews),Private,23 years old,"New Delhi,Delhi + 6 more",51-200 Employees (India)
4465,Fernandez Hospit...,4.1,(139 Reviews),Private,75 years old,"Hyderabad/Secunderabad,Telangana",1k-5k Employees (India)
4466,OPERATIONAL ENER...,4,(139 Reviews),Private,16 years old,"Chennai,Tamil Nadu + 30 more",201-500 Employees (India)
4467,mPokket,3.4,(139 Reviews),"Kolkata,West Bengal + 3 more",1k-5k Employees (India),7 years old,
4468,Schott Poonawall...,3.6,(139 Reviews),Daman & Diu + 9 more,,1k-5k Employees (India),
4469,Megafine Pharma,3.9,(138 Reviews),Private,28 years old,"Mumbai,Maharashtra + 6 more",201-500 Employees (India)
4470,OEN India,4,(138 Reviews),Private,55 years old,"Kochi/Cochin,Kerala + 7 more",51-200 Employees (India)
4471,Teletext Holiday...,3.7,(138 Reviews),Private,31 years old,London + 2 more,51-200 Employees (India)
4472,Olectra Greentec...,3.2,(138 Reviews),Public,31 years old,"Hyderabad/Secunderabad,Telangana + 10 more",201-500 Employees (India)
4473,Indus Valley Par...,3.6,(138 Reviews),Private,23 years old,New York + 5 more,501-1k Employees (India)
4474,Edureka,3.2,(138 Reviews),Private,12 years old,"Bangalore,Karnataka + 11 more",201-500 Employees (India)
